message_id,label,date,word_count,sentence_count,char_count,avg_sentence_length,flesch_kincaid_grade
0,ham,1999-12-10,4,1,29,4.0,3.6700000000000017
1,ham,1999-12-13,435,24,4307,18.125,9.776481481481483
2,ham,1999-12-14,10,2,67,5.0,9.55
3,ham,1999-12-14,177,7,1182,25.285714285714285,11.915000000000003
4,ham,1999-12-14,170,7,1150,24.285714285714285,13.09058823529412
5,ham,1999-12-14,103,6,559,17.166666666666668,10.262208737864082
6,ham,1999-12-14,78,1,433,78.0,30.563333333333336
7,ham,1999-12-14,207,6,1395,34.5,14.354368932038838
8,ham,1999-12-14,293,16,1627,18.3125,9.486818625060948
9,ham,1999-12-14,516,26,3062,19.846153846153847,10.618764619883041
10,ham,1999-12-14,287,13,1752,22.076923076923077,12.593903508771934
11,ham,1999-12-15,169,7,1067,24.142857142857142,10.556904761904764
12,ham,1999-12-15,118,4,738,29.5,11.629456521739133
13,ham,1999-12-15,109,12,619,9.083333333333334,5.696636085626913
14,ham,1999-12-15,60,6,311,10.0,4.626666666666669
15,ham,1999-12-15,141,10,853,14.1,6.766019503546101
16,ham,1999-12-15,88,1,511,88.0,32.94363636363636
17,ham,1999-12-16,117,5,651,23.4,12.962799145299147
18,ham,1999-12-16,142,6,1018,23.666666666666668,15.040915492957748
19,ham,1999-12-16,53,4,288,13.25,7.5084615384615425
20,ham,1999-12-16,37,3,188,12.333333333333334,5.338513513513515
21,ham,1999-12-17,219,18,1243,12.166666666666666,6.400305810397555
22,ham,1999-12-17,61,5,463,12.2,8.734549180327871
23,ham,1999-12-17,280,20,1700,14.0,7.626326164874552
24,ham,1999-12-20,360,13,2138,27.692307692307693,16.168172043010753
25,ham,1999-12-20,96,3,540,32.0,13.40421052631579
26,ham,1999-12-20,707,35,4206,20.2,8.529855519480517
27,ham,1999-12-20,200,11,1161,18.181818181818183,9.773666666666667
28,ham,1999-12-20,142,9,843,15.777777777777779,9.190442655935616
29,ham,1999-12-20,74,3,453,24.666666666666668,13.005675675675679
30,ham,1999-12-20,186,11,1171,16.90909090909091,8.126928746928748
31,ham,1999-12-20,75,6,524,12.5,7.403621621621621
32,ham,1999-12-21,71,4,409,17.75,12.420281690140847
33,ham,1999-12-21,133,13,757,10.23076923076923,4.254545454545454
34,ham,1999-12-21,79,8,391,9.875,3.7048120300751926
35,ham,1999-12-21,259,17,1612,15.235294117647058,6.304592181467182
36,ham,1999-12-21,174,15,883,11.6,3.565348837209303
37,ham,1999-12-21,80,1,439,80.0,32.24784810126582
38,ham,1999-12-21,312,43,1897,7.255813953488372,4.0221774517684885
39,ham,1999-12-21,196,17,1156,11.529411764705882,5.811375000000002
40,ham,1999-12-22,243,3,1349,81.0,31.344855967078193
41,ham,1999-12-22,61,2,404,30.5,17.003360655737705
42,ham,1999-12-22,171,10,923,17.1,7.351764705882353
43,ham,1999-12-22,850,81,4861,10.493827160493828,6.229685230024213
44,ham,1999-12-23,64,6,458,10.666666666666666,5.47012121212121
45,ham,1999-12-23,75,8,523,9.375,3.7181818181818187
46,ham,1999-12-23,83,2,579,41.5,16.660060240963862
47,ham,1999-12-23,21,1,122,21.0,8.333333333333332
48,ham,1999-12-23,206,4,1297,51.5,21.780914634146345
49,ham,1999-12-23,55,2,377,27.5,11.547407407407409
50,ham,1999-12-27,153,7,884,21.857142857142858,9.59310924369748
51,ham,1999-12-27,15,3,94,5.0,3.8550000000000004
52,ham,1999-12-27,259,11,1826,23.545454545454547,15.302403100775198
53,ham,1999-12-27,401,17,2229,23.58823529411765,10.910048803526447
54,ham,1999-12-27,40,5,211,8.0,7.015000000000001
55,ham,1999-12-28,9,2,76,4.5,10.723333333333333
56,ham,1999-12-28,47,4,373,11.75,6.914693877551024
57,ham,1999-12-28,72,4,375,18.0,8.847777777777775
58,ham,1999-12-28,103,6,535,17.166666666666668,7.222640776699034
59,ham,1999-12-28,65,5,355,13.0,6.359807692307694
60,ham,1999-12-28,30,3,173,10.0,5.600000000000001
61,ham,1999-12-28,34,4,209,8.5,10.128235294117648
62,ham,1999-12-28,91,7,493,13.0,8.081111111111113
63,ham,1999-12-29,138,5,861,27.6,15.051956521739132
64,ham,1999-12-29,11,2,62,5.5,8.009090909090911
65,ham,1999-12-29,15,3,93,5.0,3.8550000000000004
66,ham,1999-12-29,57,4,344,14.25,4.665745614035089
67,ham,1999-12-29,10,2,58,5.0,2.879999999999999
68,ham,1999-12-29,111,6,561,18.5,7.864411214953272
69,ham,1999-12-29,257,5,1691,51.4,26.960885214007785
70,ham,1999-12-29,445,11,2909,40.45454545454545,19.23960674157303
71,ham,1999-12-29,156,7,819,22.285714285714285,9.583421052631579
72,ham,1999-12-29,45,3,225,15.0,8.393888888888892
73,ham,1999-12-30,50,5,303,10.0,12.096
74,ham,1999-12-30,62,6,331,10.333333333333334,6.442096774193548
75,ham,1999-12-30,62,9,360,6.888888888888889,4.942177419354842
76,ham,1999-12-30,167,9,896,18.555555555555557,9.452654690618765
77,ham,1999-12-30,169,9,1004,18.77777777777778,9.116838546069314
78,ham,1999-12-31,28,2,151,14.0,11.765714285714285
79,ham,1999-12-31,573,52,3292,11.01923076923077,5.878736977308407
80,ham,2000-01-04,48,5,279,9.6,6.790000000000003
81,ham,2000-01-04,404,19,2506,21.263157894736842,9.882568922305769
82,ham,2000-01-04,35,4,177,8.75,5.077941176470592
83,ham,2000-01-04,26,3,150,8.666666666666666,6.749000000000002
84,ham,2000-01-04,73,4,543,18.25,16.102534246575342
85,ham,2000-01-04,367,21,2166,17.476190476190474,8.375787545787546
86,ham,2000-01-04,117,6,634,19.5,10.378735042735041
87,ham,2000-01-05,187,7,1131,26.714285714285715,11.17188693659282
88,ham,2000-01-05,59,5,299,11.8,4.162500000000001
89,ham,2000-01-05,49,6,280,8.166666666666666,3.4034285714285737
90,ham,2000-01-05,24,4,125,6.0,5.230000000000004
91,ham,2000-01-05,13,1,69,13.0,5.818461538461541
92,ham,2000-01-05,57,5,425,11.4,6.5625000000000036
93,ham,2000-01-05,161,10,948,16.1,9.55564440993789
94,ham,2000-01-05,56,5,280,11.2,6.861428571428572
95,ham,2000-01-05,138,2,818,69.0,28.954197080291973
96,ham,2000-01-06,46,4,241,11.5,5.78130434782609
97,ham,2000-01-06,38,4,233,9.5,6.746578947368423
98,ham,2000-01-06,70,7,415,10.0,6.178571428571427
99,ham,2000-01-06,55,6,437,9.166666666666666,8.588421052631581
100,ham,2000-01-06,49,4,379,12.25,7.467450980392158
101,ham,2000-01-06,130,10,780,13.0,6.907692307692312
102,ham,2000-01-06,868,43,5496,20.186046511627907,10.51593720741527
103,ham,2000-01-06,388,16,2447,24.25,16.109662605435805
104,ham,2000-01-07,152,9,905,16.88888888888889,8.421809523809525
105,ham,2000-01-07,382,16,2244,23.875,10.596184210526314
106,ham,2000-01-07,8,1,45,8.0,3.7550000000000026
107,ham,2000-01-07,30,8,173,3.75,3.038951612903226
108,ham,2000-01-07,51,3,304,17.0,8.39294117647059
109,ham,2000-01-07,57,4,409,14.25,8.174385964912283
110,ham,2000-01-10,77,5,482,15.4,10.460357142857145
111,ham,2000-01-10,211,13,1186,16.23076923076923,7.956555023923446
112,ham,2000-01-10,184,13,1050,14.153846153846153,8.233902561526872
113,ham,2000-01-10,62,4,396,15.5,11.20016129032258
114,ham,2000-01-10,151,8,1076,18.875,11.938666666666666
115,ham,2000-01-10,92,6,455,15.333333333333334,6.900617977528089
116,ham,2000-01-10,268,13,1578,20.615384615384617,12.195643224699829
117,ham,2000-01-10,72,7,401,10.285714285714286,5.9232222222222255
118,ham,2000-01-10,22,1,110,22.0,6.399090909090912
119,ham,2000-01-11,57,9,334,6.333333333333333,4.055350877192982
120,ham,2000-01-11,269,9,1649,29.88888888888889,13.096240706319701
121,ham,2000-01-11,71,4,376,17.75,10.425915492957749
122,ham,2000-01-11,112,7,673,16.0,9.28464285714286
123,ham,2000-01-11,406,42,2273,9.666666666666666,5.06930693069307
124,ham,2000-01-11,221,11,1286,20.09090909090909,9.705183052241878
125,ham,2000-01-11,511,49,2846,10.428571428571429,5.046063466302211
126,ham,2000-01-11,508,49,3105,10.36734693877551,4.752778041517416
127,ham,2000-01-11,14,4,83,3.5,4.840000000000003
128,ham,2000-01-11,195,11,1152,17.727272727272727,10.590256410256412
129,ham,2000-01-11,1108,51,7130,21.725490196078432,10.887057971014496
130,ham,2000-01-12,23,3,136,7.666666666666667,6.3384782608695645
131,ham,2000-01-12,9,1,46,9.0,2.342222222222226
132,ham,2000-01-12,747,37,4572,20.18918918918919,8.872453758892522
133,ham,2000-01-12,66,3,317,22.0,5.683939393939394
134,ham,2000-01-12,78,5,425,15.6,6.227333333333334
135,ham,2000-01-12,146,7,854,20.857142857142858,11.100689655172413
136,ham,2000-01-12,284,11,1615,25.818181818181817,12.851425206124855
137,ham,2000-01-12,163,14,809,11.642857142857142,5.3593417721519
138,ham,2000-01-12,34,2,186,17.0,7.004705882352944
139,ham,2000-01-13,55,8,294,6.875,2.5607407407407408
140,ham,2000-01-13,120,15,681,8.0,6.4294535519125695
141,ham,2000-01-14,17,3,100,5.666666666666667,4.383823529411767
142,ham,2000-01-14,68,4,404,17.0,8.913529411764706
143,ham,2000-01-14,811,40,5035,20.275,8.922851692428097
144,ham,2000-01-16,170,15,950,11.333333333333334,6.782945900253594
145,ham,2000-01-17,15,3,92,5.0,4.641666666666666
146,ham,2000-01-17,158,10,837,15.8,7.748333333333335
147,ham,2000-01-17,308,20,1732,15.4,7.73216566005177
148,ham,2000-01-17,388,26,2718,14.923076923076923,15.332701030927836
149,ham,2000-01-17,53,4,397,13.25,7.221818181818183
150,ham,2000-01-17,39,3,257,13.0,11.379102564102567
151,ham,2000-01-18,333,11,1735,30.272727272727273,11.1319754601227
152,ham,2000-01-18,428,17,2729,25.176470588235293,11.853247663551404
153,ham,2000-01-18,614,28,3311,21.928571428571427,8.894223255813955
154,ham,2000-01-18,53,4,397,13.25,7.650909090909089
155,ham,2000-01-19,6,1,30,6.0,2.4833333333333343
156,ham,2000-01-19,50,5,274,10.0,5.560833333333335
157,ham,2000-01-19,74,7,415,10.571428571428571,7.722540540540539
158,ham,2000-01-19,622,27,3773,23.037037037037038,12.10000258481422
159,ham,2000-01-19,89,7,517,12.714285714285714,6.737110754414125
160,ham,2000-01-19,246,9,1525,27.333333333333332,13.910630081300813
161,ham,2000-01-19,53,4,399,13.25,7.650909090909089
162,ham,2000-01-19,494,20,3048,24.7,13.320337423312882
163,ham,2000-01-20,988,49,5691,20.163265306122447,10.406575867255807
164,ham,2000-01-20,43,3,267,14.333333333333334,19.291627906976746
165,ham,2000-01-20,49,4,387,12.25,7.467450980392158
166,ham,2000-01-20,366,26,2113,14.076923076923077,8.241002490660026
167,ham,2000-01-21,49,4,278,12.25,6.433061224489798
168,ham,2000-01-21,331,11,2190,30.09090909090909,14.014545454545456
169,ham,2000-01-21,55,7,305,7.857142857142857,4.147272727272728
170,ham,2000-01-21,119,11,680,10.818181818181818,6.508907563025211
171,ham,2000-01-21,68,5,361,13.6,7.004705882352944
172,ham,2000-01-21,218,12,1371,18.166666666666668,11.694568807339447
173,ham,2000-01-21,21,2,119,10.5,7.609761904761903
174,ham,2000-01-21,131,6,696,21.833333333333332,9.890000000000004
175,ham,2000-01-21,205,10,1226,20.5,9.525528455284554
176,ham,2000-01-24,119,5,792,23.8,10.350823529411766
177,ham,2000-01-24,157,7,1030,22.428571428571427,11.40655677655678
178,ham,2000-01-24,363,31,2190,11.709677419354838,8.42011049723757
179,ham,2000-01-24,394,31,2365,12.709677419354838,8.860725190839695
180,ham,2000-01-24,46,5,254,9.2,4.928434782608697
181,ham,2000-01-24,47,4,375,11.75,6.914693877551024
182,ham,2000-01-24,245,10,1333,24.5,10.051530612244896
183,ham,2000-01-25,9,1,50,9.0,3.653333333333336
184,ham,2000-01-25,15,3,92,5.0,4.641666666666666
185,ham,2000-01-25,167,3,861,55.666666666666664,33.911325301204826
186,ham,2000-01-25,64,3,371,21.333333333333332,11.142857142857142
187,ham,2000-01-25,45,1,273,45.0,21.68363636363637
188,ham,2000-01-25,169,12,1115,14.083333333333334,11.069273803119959
189,ham,2000-01-25,46,5,267,9.2,6.3384782608695645
190,ham,2000-01-25,27,3,155,9.0,4.964444444444446
191,ham,2000-01-26,219,5,1433,43.8,18.90337037037037
192,ham,2000-01-26,42,4,237,10.5,4.993658536585368
193,ham,2000-01-26,56,6,441,9.333333333333334,6.634000000000004
194,ham,2000-01-26,47,4,371,11.75,9.322857142857146
195,ham,2000-01-26,114,14,630,8.142857142857142,3.5375000000000014
196,ham,2000-01-27,134,9,897,14.88888888888889,10.9768045112782
197,ham,2000-01-27,185,8,1038,23.125,11.874980694980696
198,ham,2000-01-27,43,4,359,10.75,8.87777777777778
199,ham,2000-01-28,10,1,51,10.0,8.370000000000001
200,ham,2000-01-28,52,3,278,17.333333333333332,7.5084615384615425
201,ham,2000-01-28,47,4,385,11.75,7.877959183673472
202,ham,2000-01-28,209,19,1003,11.0,3.7243137254901946
203,ham,2000-01-28,83,1,589,83.0,34.37780487804878
204,ham,2000-01-28,47,4,381,11.75,7.877959183673472
205,ham,2000-01-31,107,8,644,13.375,9.00881174899867
206,ham,2000-01-31,77,4,569,19.25,11.43038961038961
207,ham,2000-01-31,68,5,352,13.6,4.984588235294119
208,ham,2000-01-31,24,3,141,8.0,8.265
209,ham,2000-01-31,170,10,1000,17.0,7.792504930966473
210,ham,2000-01-31,105,7,575,15.0,7.867380952380955
211,ham,2000-01-31,120,18,653,6.666666666666667,5.0120000000000005
212,ham,2000-01-31,56,7,448,8.0,6.083448275862068
213,ham,2000-01-31,123,11,915,11.181818181818182,6.560200000000002
214,ham,2000-01-31,78,6,435,13.0,7.135025641025642
215,ham,2000-01-31,42,2,284,21.0,13.390476190476189
216,ham,2000-01-31,149,1,1027,149.0,59.70523489932886
217,ham,2000-02-01,219,14,1245,15.642857142857142,7.0145737327188975
218,ham,2000-02-01,233,10,1282,23.3,8.386270386266094
219,ham,2000-02-01,9,1,54,9.0,10.208888888888893
220,ham,2000-02-01,55,4,342,13.75,6.500925925925927
221,ham,2000-02-01,198,21,1125,9.428571428571429,6.1052577319587655
222,ham,2000-02-01,60,2,339,30.0,13.023333333333337
223,ham,2000-02-02,30,3,184,10.0,9.533333333333335
224,ham,2000-02-02,59,4,351,14.75,9.830526315789477
225,ham,2000-02-02,18,1,80,18.0,9.785555555555558
226,ham,2000-02-02,41,1,226,41.0,17.092682926829266
227,ham,2000-02-02,120,6,655,20.0,8.041666666666668
228,ham,2000-02-02,879,57,5929,15.421052631578947,13.191920506257109
229,ham,2000-02-02,447,22,3180,20.318181818181817,16.955850111856822
230,ham,2000-02-02,334,15,2289,22.266666666666666,15.550092235092237
231,ham,2000-02-02,51,4,409,12.75,9.77924528301887
232,ham,2000-02-02,41,3,205,13.666666666666666,4.705853658536586
233,ham,2000-02-03,85,4,440,21.25,10.452941176470588
234,ham,2000-02-03,92,7,519,13.142857142857142,5.953105590062112
235,ham,2000-02-03,165,8,962,20.625,9.232508710801394
236,ham,2000-02-03,105,10,602,10.5,5.482051282051284
237,ham,2000-02-03,53,3,280,17.666666666666668,7.962307692307693
238,ham,2000-02-03,182,24,887,7.583333333333333,3.5466911764705884
239,ham,2000-02-03,513,79,3637,6.493670886075949,6.756368350297677
