message_id,label,date,neg,neu,pos,compound
0,ham,1999-12-10,0.0,1.0,0.0,0.0
1,ham,1999-12-13,0.049,0.905,0.046,-0.4767
2,ham,1999-12-14,0.0,1.0,0.0,0.0
3,ham,1999-12-14,0.0,0.915,0.085,0.9136
4,ham,1999-12-14,0.026,0.892,0.082,0.7506
5,ham,1999-12-14,0.0,0.867,0.133,0.9092
6,ham,1999-12-14,0.0,1.0,0.0,0.0
7,ham,1999-12-14,0.023,0.881,0.096,0.8398
8,ham,1999-12-14,0.015,0.909,0.075,0.9571
9,ham,1999-12-14,0.027,0.828,0.145,0.995
10,ham,1999-12-14,0.023,0.835,0.143,0.9881
11,ham,1999-12-15,0.01,0.871,0.119,0.9535
12,ham,1999-12-15,0.0,0.928,0.072,0.7717
13,ham,1999-12-15,0.021,0.776,0.203,0.9578
14,ham,1999-12-15,0.0,0.908,0.092,0.5719
15,ham,1999-12-15,0.0,0.891,0.109,0.9153
16,ham,1999-12-15,0.0,0.971,0.029,0.3612
17,ham,1999-12-16,0.042,0.937,0.021,-0.3515
18,ham,1999-12-16,0.0,0.951,0.049,0.7184
19,ham,1999-12-16,0.0,0.843,0.157,0.802
20,ham,1999-12-16,0.0,0.86,0.14,0.6369
21,ham,1999-12-17,0.0,0.805,0.195,0.9887
22,ham,1999-12-17,0.0,1.0,0.0,0.0
23,ham,1999-12-17,0.004,0.929,0.067,0.9615
24,ham,1999-12-20,0.01,0.956,0.034,0.8053
25,ham,1999-12-20,0.026,0.793,0.181,0.936
26,ham,1999-12-20,0.052,0.886,0.062,0.9257
27,ham,1999-12-20,0.033,0.899,0.068,0.7184
28,ham,1999-12-20,0.034,0.87,0.096,0.765
29,ham,1999-12-20,0.0,0.935,0.065,0.3612
30,ham,1999-12-20,0.011,0.807,0.182,0.9852
31,ham,1999-12-20,0.0,1.0,0.0,0.0
32,ham,1999-12-21,0.0,0.865,0.135,0.8519
33,ham,1999-12-21,0.032,0.944,0.023,-0.0258
34,ham,1999-12-21,0.028,0.794,0.179,0.9052
35,ham,1999-12-21,0.015,0.921,0.064,0.8949
36,ham,1999-12-21,0.063,0.893,0.044,-0.4871
37,ham,1999-12-21,0.0,0.967,0.033,0.3612
38,ham,1999-12-21,0.009,0.969,0.022,0.6199
39,ham,1999-12-21,0.011,0.989,0.0,-0.2732
40,ham,1999-12-22,0.009,0.96,0.03,0.6249
41,ham,1999-12-22,0.0,0.962,0.038,0.3182
42,ham,1999-12-22,0.041,0.778,0.181,0.9733
43,ham,1999-12-22,0.013,0.954,0.032,0.8836
44,ham,1999-12-23,0.048,0.898,0.054,0.1069
45,ham,1999-12-23,0.0,0.826,0.174,0.936
46,ham,1999-12-23,0.0,0.971,0.029,0.3182
47,ham,1999-12-23,0.0,0.887,0.113,0.3182
48,ham,1999-12-23,0.0,0.915,0.085,0.9337
49,ham,1999-12-23,0.0,1.0,0.0,0.0
50,ham,1999-12-27,0.02,0.957,0.023,0.1531
51,ham,1999-12-27,0.0,1.0,0.0,0.0
52,ham,1999-12-27,0.01,0.939,0.05,0.8126
53,ham,1999-12-27,0.03,0.933,0.037,0.6072
54,ham,1999-12-27,0.0,1.0,0.0,0.0
55,ham,1999-12-28,0.0,1.0,0.0,0.0
56,ham,1999-12-28,0.0,1.0,0.0,0.0
57,ham,1999-12-28,0.0,0.92,0.08,0.6597
58,ham,1999-12-28,0.04,0.905,0.054,0.34
59,ham,1999-12-28,0.0,0.923,0.077,0.5267
60,ham,1999-12-28,0.0,0.843,0.157,0.6369
61,ham,1999-12-28,0.0,0.85,0.15,0.6486
62,ham,1999-12-28,0.115,0.779,0.107,0.3011
63,ham,1999-12-29,0.0,0.925,0.075,0.8519
64,ham,1999-12-29,0.0,1.0,0.0,0.0
65,ham,1999-12-29,0.0,1.0,0.0,0.0
66,ham,1999-12-29,0.088,0.817,0.095,0.1007
67,ham,1999-12-29,0.0,1.0,0.0,0.0
68,ham,1999-12-29,0.015,0.907,0.078,0.7506
69,ham,1999-12-29,0.019,0.91,0.072,0.915
70,ham,1999-12-29,0.03,0.92,0.05,0.8316
71,ham,1999-12-29,0.011,0.911,0.079,0.8402
72,ham,1999-12-29,0.062,0.902,0.036,-0.2846
73,ham,1999-12-30,0.052,0.948,0.0,-0.3527
74,ham,1999-12-30,0.0,0.921,0.079,0.5514
75,ham,1999-12-30,0.0,0.792,0.208,0.908
76,ham,1999-12-30,0.0,0.707,0.293,0.9943
77,ham,1999-12-30,0.015,0.955,0.03,0.3313
78,ham,1999-12-31,0.0,0.725,0.275,0.7727
79,ham,1999-12-31,0.039,0.939,0.023,-0.8751
80,ham,2000-01-04,0.0,0.947,0.053,0.3818
81,ham,2000-01-04,0.04,0.864,0.096,0.9763
82,ham,2000-01-04,0.0,0.802,0.198,0.7845
83,ham,2000-01-04,0.0,0.802,0.198,0.6369
84,ham,2000-01-04,0.0,0.93,0.07,0.6369
85,ham,2000-01-04,0.029,0.921,0.05,0.4872
86,ham,2000-01-04,0.0,0.643,0.357,0.9945
87,ham,2000-01-05,0.037,0.883,0.08,0.8442
88,ham,2000-01-05,0.129,0.747,0.124,-0.0772
89,ham,2000-01-05,0.027,0.642,0.331,0.9511
90,ham,2000-01-05,0.0,1.0,0.0,0.0
91,ham,2000-01-05,0.0,1.0,0.0,0.0
92,ham,2000-01-05,0.0,1.0,0.0,0.0
93,ham,2000-01-05,0.011,0.847,0.142,0.9657
94,ham,2000-01-05,0.0,0.813,0.187,0.8442
95,ham,2000-01-05,0.0,0.916,0.084,0.872
96,ham,2000-01-06,0.068,0.768,0.164,0.6124
97,ham,2000-01-06,0.0,0.687,0.313,0.9274
98,ham,2000-01-06,0.0,0.722,0.278,0.9734
99,ham,2000-01-06,0.029,0.896,0.075,0.5574
100,ham,2000-01-06,0.0,1.0,0.0,0.0
101,ham,2000-01-06,0.0,1.0,0.0,0.0
102,ham,2000-01-06,0.007,0.935,0.058,0.9901
103,ham,2000-01-06,0.024,0.921,0.055,0.9042
104,ham,2000-01-07,0.0,0.904,0.096,0.9042
105,ham,2000-01-07,0.014,0.899,0.087,0.9726
106,ham,2000-01-07,0.0,1.0,0.0,0.0
107,ham,2000-01-07,0.0,0.708,0.292,0.8934
108,ham,2000-01-07,0.0,0.847,0.153,0.8176
109,ham,2000-01-07,0.0,1.0,0.0,0.0
110,ham,2000-01-10,0.0,0.942,0.058,0.561
111,ham,2000-01-10,0.0,0.869,0.131,0.9756
