label,term,count
ham,enron,60906
ham,ect,35331
ham,hou,16946
ham,hou ect,16213
ham,ect ect,15764
ham,2001,15567
ham,2000,13693
ham,com,12575
ham,subject,12093
ham,company,11780
ham,said,10836
ham,10,10283
ham,energy,9925
ham,new,9898
ham,pm,9406
ham,gas,9277
ham,cc,9265
ham,01,8650
ham,vince,8623
ham,11,8293
spam,com,11609
spam,company,11179
spam,http,8755
spam,email,7985
spam,information,7792
spam,statements,6579
spam,00,6087
spam,money,5635
spam,time,5557
spam,business,5544
spam,000,5511
spam,www,5410
spam,new,5376
spam,mail,4836
spam,price,4738
spam,free,4720
spam,report,4413
spam,10,4231
spam,just,4067
spam,investment,3855
