email_id,label,neg,neu,pos,compound
email_1,ai_phish,0.056,0.697,0.247,0.9799
email_10,ai_phish,0.072,0.633,0.296,0.9859
email_100,ai_phish,0.05,0.671,0.28,0.9709
email_101,ai_phish,0.049,0.667,0.285,0.969
email_102,ai_phish,0.025,0.705,0.271,0.9638
email_103,ai_phish,0.0,0.783,0.217,0.9517
email_104,ai_phish,0.047,0.774,0.178,0.9042
email_105,ai_phish,0.062,0.643,0.296,0.9661
email_106,ai_phish,0.055,0.705,0.24,0.9442
email_107,ai_phish,0.052,0.753,0.196,0.8957
email_108,ai_phish,0.024,0.742,0.234,0.9531
email_109,ai_phish,0.047,0.804,0.149,0.8591
email_11,ai_phish,0.075,0.712,0.213,0.9494
email_110,ai_phish,0.051,0.65,0.299,0.9691
email_111,ai_phish,0.09,0.632,0.278,0.9573
email_112,ai_phish,0.056,0.69,0.254,0.9592
email_113,ai_phish,0.023,0.737,0.241,0.9584
email_114,ai_phish,0.024,0.781,0.195,0.926
email_115,ai_phish,0.05,0.669,0.28,0.9658
email_116,ai_phish,0.028,0.653,0.319,0.983
email_117,ai_phish,0.07,0.712,0.218,0.9231
email_118,ai_phish,0.0,0.726,0.274,0.9705
email_119,ai_phish,0.047,0.806,0.147,0.8591
email_12,ai_phish,0.053,0.68,0.267,0.9857
email_120,ai_phish,0.029,0.646,0.325,0.9761
email_121,ai_phish,0.064,0.614,0.321,0.9726
email_122,ai_phish,0.0,0.757,0.243,0.9573
email_123,ai_phish,0.0,0.703,0.297,0.9738
email_124,ai_phish,0.029,0.789,0.182,0.891
email_125,ai_phish,0.025,0.648,0.328,0.9774
email_126,ai_phish,0.0,0.696,0.304,0.9744
email_127,ai_phish,0.025,0.773,0.202,0.9263
email_128,ai_phish,0.0,0.701,0.299,0.9735
email_129,ai_phish,0.054,0.771,0.175,0.8555
email_13,ai_phish,0.027,0.764,0.209,0.9776
email_130,ai_phish,0.028,0.653,0.319,0.983
email_131,ai_phish,0.07,0.712,0.218,0.9231
email_132,ai_phish,0.0,0.726,0.274,0.9705
email_133,ai_phish,0.069,0.785,0.146,0.8074
email_134,ai_phish,0.0,0.68,0.32,0.9776
email_135,ai_phish,0.047,0.61,0.343,0.9756
email_136,ai_phish,0.0,0.768,0.232,0.9511
email_137,ai_phish,0.0,0.726,0.274,0.9705
email_138,ai_phish,0.071,0.805,0.124,0.7184
email_139,ai_phish,0.0,0.692,0.308,0.977
email_14,ai_phish,0.044,0.758,0.198,0.9677
email_140,ai_phish,0.052,0.603,0.345,0.9756
email_141,ai_phish,0.0,0.743,0.257,0.9573
email_142,ai_phish,0.0,0.737,0.263,0.9633
email_143,ai_phish,0.0,0.825,0.175,0.93
email_145,ai_phish,0.024,0.657,0.319,0.9729
email_146,ai_phish,0.0,0.756,0.244,0.954
email_147,ai_phish,0.0,0.773,0.227,0.9559
email_148,ai_phish,0.047,0.755,0.197,0.9169
email_149,ai_phish,0.069,0.601,0.33,0.9705
email_15,ai_phish,0.073,0.612,0.315,0.9883
email_150,ai_phish,0.021,0.66,0.318,0.9766
email_151,ai_phish,0.051,0.747,0.202,0.91
email_152,ai_phish,0.0,0.743,0.257,0.9661
email_153,ai_phish,0.023,0.785,0.192,0.9337
email_155,ai_phish,0.032,0.604,0.364,0.9828
email_156,ai_phish,0.0,0.766,0.234,0.9416
email_157,ai_phish,0.0,0.713,0.287,0.9682
email_158,ai_phish,0.026,0.8,0.174,0.8957
email_159,ai_phish,0.044,0.646,0.31,0.9716
email_16,ai_phish,0.06,0.684,0.255,0.9815
email_160,ai_phish,0.026,0.66,0.314,0.9702
email_161,ai_phish,0.094,0.69,0.216,0.8934
email_162,ai_phish,0.0,0.755,0.245,0.9607
email_163,ai_phish,0.045,0.795,0.16,0.8834
email_165,ai_phish,0.069,0.623,0.308,0.9623
email_166,ai_phish,0.0,0.756,0.244,0.954
email_167,ai_phish,0.0,0.759,0.241,0.9578
email_168,ai_phish,0.0,0.826,0.174,0.9186
email_17,ai_phish,0.021,0.778,0.201,0.9779
email_170,ai_phish,0.0,0.662,0.338,0.9823
email_171,ai_phish,0.052,0.741,0.206,0.91
email_172,ai_phish,0.0,0.743,0.257,0.9661
email_173,ai_phish,0.045,0.743,0.213,0.9382
email_175,ai_phish,0.0,0.638,0.362,0.9821
email_176,ai_phish,0.0,0.756,0.244,0.954
email_177,ai_phish,0.0,0.713,0.287,0.9682
email_178,ai_phish,0.049,0.777,0.174,0.8834
email_179,ai_phish,0.069,0.626,0.305,0.9657
email_18,ai_phish,0.055,0.689,0.256,0.982
email_180,ai_phish,0.0,0.681,0.319,0.975
email_181,ai_phish,0.094,0.69,0.216,0.8934
email_182,ai_phish,0.0,0.755,0.245,0.9607
email_183,ai_phish,0.045,0.795,0.16,0.8834
email_185,ai_phish,0.069,0.623,0.308,0.9623
email_186,ai_phish,0.0,0.756,0.244,0.954
email_187,ai_phish,0.0,0.759,0.241,0.9578
email_188,ai_phish,0.0,0.811,0.189,0.93
email_19,ai_phish,0.06,0.624,0.316,0.9856
email_190,ai_phish,0.038,0.624,0.338,0.9803
email_191,ai_phish,0.066,0.736,0.198,0.8934
email_192,ai_phish,0.0,0.753,0.247,0.969
email_193,ai_phish,0.045,0.773,0.182,0.9172
email_195,ai_phish,0.01,0.711,0.279,0.9743
email_196,ai_phish,0.023,0.761,0.216,0.9413
email_197,ai_phish,0.0,0.737,0.263,0.9756
email_198,ai_phish,0.0,0.777,0.223,0.9546
email_2,ai_phish,0.106,0.599,0.295,0.9816
email_20,ai_phish,0.074,0.738,0.188,0.9483
email_200,ai_phish,0.024,0.689,0.286,0.9682
